"","x"
"1","API"
"2","bh_max"
"3","eta"
"4","covEDAT0"
"5","covITN0"
"6","effITN"
"7","covIRS0"
"8","effIRS"
"9","muC"
"10","muA"
"11","muU"
"12","percfail2018"
"13","percfail2019"
"14","percfail2020"
"15","EDATscale"
"16","covEDATi"
"17","ITNscale"
"18","covITNi"
"19","IRSscale"
"20","covIRSi"
"21","lossd"
"22","dm"
"23","cmda_1"
"24","cmda_2"
"25","cmda_3"
"26","tm_1"
"27","tm_2"
"28","tm_3"
"29","effv_1"
"30","effv_2"
"31","effv_3"
"32","vh"
"33","MSATscale"
"34","covMSATi"
"35","MSATsensC"
"36","MSATsensA"
"37","MSATsensU"
