"","varName","default","min","max"
"1","API","10","1","30"
"2","bh_max","20","15","25"
"3","eta","30","5","60"
"4","covEDAT0","25","10","50"
"5","covITN0","70","50","90"
"6","effITN","30","20","50"
"7","covIRS0","0","0","90"
"8","effIRS","15","5","25"
"9","muC","1","0.5","10"
"10","muA","1","0.5","20"
"11","muU","1","0.5","20"
"12","percfail2018","5","2","10"
"13","percfail2019","15","7","20"
"14","percfail2020","30","15","45"
"15","EDATscale","1","0.25","3"
"16","covEDATi","70","60","95"
"17","ITNscale","1","0.25","3"
"18","covITNi","90","70","90"
"19","IRSscale","1","0.25","3"
"20","covIRSi","90","70","90"
"21","lossd","30","15","30"
"22","dm","6","1","12"
"23","cmda_1","50","30","70"
"24","cmda_2","50","30","70"
"25","cmda_3","50","30","70"
"26","tm_1","9","1","36"
"27","tm_2","10","2","36"
"28","tm_3","11","3","36"
"29","effv_1","75","50","90"
"30","effv_2","80","60","95"
"31","effv_3","92","70","99"
"32","vh","90","70","200"
"33","MSATscale","1","0.25","3"
"34","covMSATi","90","70","95"
"35","MSATsensC","99","90","100"
"36","MSATsensA","87","70","95"
"37","MSATsensU","4","1","30"
